Sponsor_raw,Sponsor_clean,Sponsor_type
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-sen Memorial Hospital of Sun Yat-sen University,Hospital / medical center
Incyte Corporation,Incyte Corporation,Industry
Medical Research Council,Medical Research Council,Research institute / foundation
Weill Medical College of Cornell University,Weill Medical College of Cornell University,Academic
University of Arkansas,University of Arkansas,Academic
National Center for Research Resources (NCRR),National Center for Research Resources,Government / public agency
Haruhiko Fukuda,Haruhiko Fukuda,Individual
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
AGO Research GmbH,AGO Research GmbH,Industry
Susan L. Greenspan,Susan L. Greenspan,Individual
"University Hospital, Rouen","University Hospital, Rouen",Hospital / medical center
"Alza Corporation, DE, USA",Alza Corporation,Industry
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
"University Hospital, Brest","University Hospital, Brest",Hospital / medical center
"Shanghai Pharmaceuticals Holding Co., Ltd","Shanghai Pharmaceuticals Holding Co., Ltd",Industry
Ann & Robert H Lurie Children's Hospital of Chicago,Ann & Robert H Lurie Children's Hospital of Chicago,Hospital / medical center
Instituto de Investigación Hospital Universitario La Paz,Hospital Universitario La Paz,Hospital / medical center
Precision Life Sciences Group,Precision Life Sciences Group,Industry
Celgene Corporation,Celgene Corporation,Industry
Tao OUYANG,Tao OUYANG,Individual
Sichuan Cancer Hospital and Research Institute,Sichuan Cancer Hospital and Research Institute,Hospital / medical center
"Taiho Oncology, Inc.","Taiho Oncology, Inc.",Industry
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
"Charite University, Berlin, Germany",Charite University,Academic
University of Leicester,University of Leicester,Academic
Otsuka Australia Pharmaceutical Pty Ltd,Otsuka Australia Pharmaceutical Pty Ltd,Industry
"Jiangsu HengRui Medicine Co., Ltd.","Jiangsu HengRui Medicine Co., Ltd.",Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Trans Tasman Radiation Oncology Group,Trans Tasman Radiation Oncology Group,Cooperative group / network
Ontario Clinical Oncology Group (OCOG),Ontario Clinical Oncology Group,Cooperative group / network
DualityBio Inc.,DualityBio Inc.,Industry
Sanofi,Sanofi,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
"NEMA Research, Inc.","NEMA Research, Inc.",Industry
University of Aarhus,University of Aarhus,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Pfizer,Pfizer,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
NSABP Foundation Inc,NSABP Foundation,Research institute / foundation
Gadjah Mada University,Gadjah Mada University,Academic
MediGene,MediGene,Industry
AstraZeneca,AstraZeneca,Industry
"Genentech, Inc.","Genentech, Inc.",Industry
Summit Therapeutics,Summit Therapeutics,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"Genentech, Inc.","Genentech, Inc.",Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Zydus Lifesciences Limited,Zydus Lifesciences Limited,Industry
Sir Run Run Shaw Hospital,Sir Run Run Shaw Hospital,Hospital / medical center
Axogen Corporation,Axogen Corporation,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
University of Illinois College of Medicine at Peoria,University of Illinois College of Medicine at Peoria,Academic
Singapore General Hospital,Singapore General Hospital,Hospital / medical center
Army Medical Center of PLA,Army Medical Center of PLA,Hospital / medical center
"China Medical University, China",China Medical University,Academic
"Shanghai Junshi Bioscience Co., Ltd.","Shanghai Junshi Bioscience Co., Ltd.",Industry
"Astellas Pharma Global Development, Inc.","Astellas Pharma Global Development, Inc.",Industry
Celgene,Celgene Corporation,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Mikkel Bandak,Mikkel Bandak,Individual
Pfizer,Pfizer,Industry
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,Research institute / foundation
Chiang Mai University,Chiang Mai University,Academic
Zhejiang University,Zhejiang University,Academic
Zhujiang Hospital,Zhujiang Hospital,Hospital / medical center
McGill University,McGill University,Academic
Mylan Pharmaceuticals Inc,Mylan Pharmaceuticals,Industry
Goethe University,Goethe University,Academic
Stichting Hemato-Oncologie voor Volwassenen Nederland,Stichting Hemato-Oncologie voor Volwassenen Nederland,Cooperative group / network
"Taiho Oncology, Inc.",Taiho Oncology,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
"Jinling Hospital, China",Jinling Hospital,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
University of British Columbia,University of British Columbia,Academic
Hadassah Medical Organization,Hadassah Medical Organization,Hospital / medical center
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",Research institute / foundation
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
North Eastern German Society of Gynaecological Oncology,North Eastern German Society of Gynaecological Oncology,Cooperative group / network
University of Aarhus,University of Aarhus,Academic
"Cancer Prevention Pharmaceuticals, Inc.",Cancer Prevention Pharmaceuticals,Industry
"Millennium Pharmaceuticals, Inc.",Millennium Pharmaceuticals,Industry
"National Cancer Center, Japan","National Cancer Center, Japan",Research institute / foundation
Guangdong Provincial People's Hospital,Guangdong Provincial People's Hospital,Hospital / medical center
Tao OUYANG,Tao OUYANG,Individual
Johnson & Johnson Taiwan Ltd,Johnson & Johnson Taiwan,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Adlai Nortye Biopharma Co., Ltd.",Adlai Nortye Biopharma,Industry
Baxter Healthcare Corporation,Baxter Healthcare,Industry
Nantes University Hospital,Nantes University Hospital,Hospital / medical center
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
AstraZeneca,AstraZeneca,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Shengjing Hospital,Shengjing Hospital,Hospital / medical center
Zhejiang Cancer Hospital,Zhejiang Cancer Hospital,Hospital / medical center
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Kholoud Usama,Kholoud Usama,Individual
Celltrion,Celltrion,Industry
Shi Yanxia,Shi Yanxia,Individual
NovoCure GmbH,NovoCure,Industry
Centre hospitalier de l'Université de Montréal (CHUM),Centre hospitalier de l'Université de Montréal,Hospital / medical center
Columbia University,Columbia University,Academic
Cristália Produtos Químicos Farmacêuticos Ltda.,Cristália Produtos Químicos Farmacêuticos,Industry
"National Cancer Center, Korea","National Cancer Center, Korea",Research institute / foundation
"Genzyme, a Sanofi Company",Genzyme,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Hospital Sirio-Libanes,Hospital Sirio-Libanes,Hospital / medical center
"University of Colorado, Denver",University of Colorado Denver,Academic
Pfizer,Pfizer,Industry
Danish Oncological Lung Cancer Group,Danish Oncological Lung Cancer Group,Cooperative group / network
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
GOG Foundation,GOG Foundation,Cooperative group / network
"Shenyang Sunshine Pharmaceutical Co., LTD.",Shenyang Sunshine Pharmaceutical,Industry
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
Xiuyi Zhi,Xiuyi Zhi,Individual
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"Frankel, Amylynne, M.D.",Amylynne Frankel,Individual
Chinese University of Hong Kong,Chinese University of Hong Kong,Academic
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Peking University,Peking University,Academic
NaviFUS Corporation,NaviFUS Corporation,Industry
Sheba Medical Center,Sheba Medical Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"National Health Research Institutes, Taiwan",National Health Research Institutes Taiwan,Research institute / foundation
Spanish Lung Cancer Group,Spanish Lung Cancer Group,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"National Cancer Institute, Naples",National Cancer Institute Naples,Hospital / medical center
Centre Leon Berard,Centre Leon Berard,Research institute / foundation
Japan Clinical Oncology Group,Japan Clinical Oncology Group,Cooperative group / network
Huazhong University of Science and Technology,Huazhong University of Science and Technology,Academic
Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,Sun Yat-Sen Memorial Hospital,Hospital / medical center
"Galera Therapeutics, Inc.",Galera Therapeutics,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
CCTU,CCTU,Other / unknown
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),National Institute of Diabetes and Digestive and Kidney Diseases,Government / public agency
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Sumitomo Pharma America, Inc.",Sumitomo Pharma America,Industry
Huazhong University of Science and Technology,Huazhong University of Science and Technology,Academic
Commissie Voor Klinisch Toegepast Onderzoek,Commissie Voor Klinisch Toegepast Onderzoek,Other / unknown
Indonesia University,Indonesia University,Academic
Henrik Lindman,Henrik Lindman,Individual
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Khon Kaen University,Khon Kaen University,Academic
Pfizer,Pfizer,Industry
"Taiho Pharmaceutical Co., Ltd.",Taiho Pharmaceutical,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
AstraZeneca,AstraZeneca,Industry
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Fujian Medical University,Fujian Medical University,Academic
Northwestern University,Northwestern University,Academic
Fasa University of Medical Sciences,Fasa University of Medical Sciences,Academic
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR,Cooperative group / network
Henan University of Traditional Chinese Medicine,Henan University of Traditional Chinese Medicine,Academic
Turku University Hospital,Turku University Hospital,Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Han Xu, M.D., Ph.D., FAPCR, Sponsor-Investigator, IRB Chair",Han Xu,Individual
"Oakwood Laboratories, LLC",Oakwood Laboratories,Industry
Liverpool Heart and Chest Hospital NHS Foundation Trust,Liverpool Heart and Chest Hospital NHS Foundation Trust,Hospital / medical center
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,Industry
Steba Biotech S.A.,Steba Biotech,Industry
"Masonic Cancer Center, University of Minnesota","Masonic Cancer Center, University of Minnesota",Academic
Yonsei University,Yonsei University,Academic
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Grupo Cooperativo de Hemopatías Malignas,Grupo Cooperativo de Hemopatías Malignas,Cooperative group / network
Saakshi Khattri,Saakshi Khattri,Individual
Indiana University,Indiana University,Academic
Seoul National University Bundang Hospital,Seoul National University Bundang Hospital,Hospital / medical center
Lei Jiang,Lei Jiang,Individual
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
Intergroupe Francophone de Cancerologie Thoracique,Intergroupe Francophone de Cancerologie Thoracique,Cooperative group / network
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Massachusetts General Hospital,Massachusetts General Hospital,Hospital / medical center
Auson Pharmaceuticals Inc.,Auson Pharmaceuticals,Industry
Pfizer,Pfizer,Industry
Shenzhen Second People's Hospital,Shenzhen Second People's Hospital,Hospital / medical center
UNICANCER,UNICANCER,Cooperative group / network
"First Affiliated Hospital, Sun Yat-Sen University",Sun Yat-sen University,Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
